group,-2.0,-1.0,0.0,0.5,1.0,1.5,2.0,3.0
base,0.0,0.0,0.5,2.0,1.2,2.0,0.9,0.8
instruct,0.0,0.5,0.7,3.0,8.7,16.2,15.2,11.0
