,ALL,B,C1,C2,D,E
S2_1P,0.997,0.9955,0.9994999999999999,1.0,0.992,0.998
S2_3P,0.9842,0.9555,0.9904999999999999,0.9954999999999999,0.9854999999999999,0.994
