,ALL,B,C1,C2,D,E
S2_1P,0.9956,0.9974999999999999,0.9904999999999999,0.9965,0.995,0.9984999999999999
S2_3P,0.9628999999999999,0.985,0.912,0.9900000000000001,0.9495,0.978
