,ALL,B,C1,C2,D,E
S2_1P,0.9893,0.9854999999999999,0.981,0.9955,0.9954999999999999,0.9889999999999999
S2_3P,0.9709000000000001,0.9885,0.9595,0.9715,0.9570000000000001,0.978
