dataset,type,mean_z,pain_z,ctrl_z
S1_1P,human,-0.2575241,0.1900812089443206,-0.7051293
S1_3P,human,-0.74382675,-0.4241379797458648,-1.0635153
S2_1P,human,-3.8146972e-08,0.777077317237854,-0.7770773
S2_3P,human,-0.6437342,-0.2169376760721206,-1.0705308
Random_1P,neutral,-0.9602278,,-0.9602278
Random_3P,neutral,-0.6355218,,-0.6355218
Arousal_1P,arousal,-0.45935616,,-0.45935616
Arousal_3P,arousal,-0.42974868,,-0.42974868
