model,dose,unsteered_answer,pain_suffering_doses,seed_mean_suffering_doses,pain_rank,n_directions,pain_coherent_doses,seed_mean_coherent_doses,S2_unsteered,S2_at_dose,r_S2_dose_pain,r_S2_dose_seeds
Llama_3.1_70B_instruct,4.0,Curiosity.,1,0.7,5,11,5,4.9,-0.6703387896219889,9.485023021697998,0.9863406275103301,0.9044134102940463
Llama_3.1_8B_instruct,1.5,Calm.,4,0.4,1,11,6,4.7,-2.7748305002848306,11.01117491722107,0.9780348818639693,0.9626721445545403
Llama_3.3_70B_instruct,4.0,Curiosity.,2,0.4,2,11,5,4.8,-0.9673874179522196,7.479701995849609,0.9922052628018637,0.8576051474038728
Mistral_7B_instruct,1.0,I feel anticipation.,2,0.0,1,11,4,3.9,-1.6032694578170776,5.621389150619507,0.9960601430133275,0.9567263484740073
Phi_4,4.0,Curious.,1,0.2,3,11,5,4.7,-3.102480967839559,26.30891227722168,0.9938378925889172,0.8600050484961625
Qwen_2.5_32B_instruct,1.0,Curiosity.,5,0.1,1,11,4,2.7,-5.641732692718506,97.7540168762207,0.9956606076802458,0.7382001796467347
Qwen_2.5_72B_instruct,3.0,Curious.,3,0.0,1,11,5,4.3,-60.35091654459635,460.2124532063802,0.9996315568857365,0.9627579991738809
Qwen_2.5_7B_instruct,1.0,Curious. There’s,5,0.1,1,11,6,4.2,-18.547460556030273,51.9581413269043,0.9865934091241465,0.927588233950875
