dataset,type,mean_z,pain_z,ctrl_z
S1_1P,human,-0.088767335,0.4099321365356445,-0.5874667
S1_3P,human,-0.4326116,-0.112457774579525,-0.7527654
S2_1P,human,3.8146972e-08,0.8434919714927673,-0.84349203
S2_3P,human,-0.46380278,-0.0635766237974166,-0.864029
Random_1P,neutral,-0.6536148,,-0.6536148
Random_3P,neutral,-0.4130868,,-0.4130868
Arousal_1P,arousal,-0.5080194,,-0.5080194
Arousal_3P,arousal,-0.3529088,,-0.3529088
