,ALL,B,C1,C2,D,E
S2_1P,0.9853000000000001,0.9930000000000001,0.962,0.9944999999999999,0.9844999999999999,0.9925
S2_3P,0.8982,0.813,0.821,0.9435,0.9349999999999999,0.9784999999999999
