,ALL,B,C1,C2,D,E
S2_1P,0.9973000000000001,0.9994999999999999,0.996,0.993,1.0,0.998
S2_3P,0.9808,0.9955,0.9874999999999999,0.9369999999999999,0.9970000000000001,0.9869999999999999
