,ALL,B,C1,C2,D,E
S2_1P,0.9954,0.9935,0.988,0.9974999999999999,1.0,0.998
S2_3P,0.9456000000000001,0.94,0.9964999999999999,0.9764999999999999,0.9994999999999999,0.8155
