dataset,type,mean_z,pain_z,ctrl_z
S1_1P,human,-0.08093902,0.458902895450592,-0.62078094
S1_3P,human,-0.33139193,-0.0143794547766447,-0.64840454
S2_1P,human,-3.8146972e-08,0.9074777364730836,-0.9074778
S2_3P,human,-0.39651287,0.0224029775708913,-0.8154288
Random_1P,neutral,-0.60601366,,-0.60601366
Random_3P,neutral,-0.35642967,,-0.35642967
Arousal_1P,arousal,-0.483817,,-0.483817
Arousal_3P,arousal,-0.28832957,,-0.28832957
