dataset,type,mean_z,pain_z,ctrl_z
S1_1P,human,-0.0957087,0.3763339519500732,-0.5677513
S1_3P,human,-0.37353843,-0.0479331500828266,-0.69914365
S2_1P,human,-3.8146972e-08,0.8505436778068542,-0.85054374
S2_3P,human,-0.35257694,0.1381604671478271,-0.8433144
Random_1P,neutral,-0.524885,,-0.524885
Random_3P,neutral,-0.44907582,,-0.44907582
Arousal_1P,arousal,-0.24113546,,-0.24113546
Arousal_3P,arousal,-0.26240805,,-0.26240805
