trait,label,best_layer,s2_auc_all_controls,s2_auc_neutral,s1_auc_at_s2_layer,s1_auc_best,s1_s2_cosine,screen_self_z,screen_vicarious_z,screen_neutral_z,screen_self_minus_neutral,screen_vicarious_minus_neutral,screen_s2_strict,screen_s2_relaxed,keyword_rate_baseline,keyword_rate_coeff_0_5,keyword_rate_coeff_1,keyword_rate_coeff_2,keyword_rate_coeff_3,unique_token_ratio_baseline,unique_token_ratio_coeff_1,unique_token_ratio_coeff_2,unique_token_ratio_coeff_3
official_pain,Official pain,60,0.9690000000000001,0.8687499999999999,0.8819999999999999,0.8852500000000001,0.5548,0.6270345454545454,-0.634856,-0.744623,1.3716575454545454,0.10976700000000006,0,0,0.0,0.0,0.0,12.0,6.0,0.6141392721017987,0.6259432036453706,0.5980930990803572,0.46078578702129463
pain_regenerated,Regenerated pain,62,0.962,0.867,0.9275,0.94025,0.7117,-0.07196227272727272,-0.22697900000000001,0.385291,-0.45725327272727273,-0.61227,0,2,0.0,0.0,14.0,90.0,82.0,0.6141392721017987,0.6066749538268522,0.3792346188317009,0.2267253600935403
sexual_arousal,Sexual arousal,59,0.9915,0.9115,0.97475,0.9825,0.677,0.39596045454545453,0.137024,-1.008133,1.4040934545454544,1.145157,0,1,2.0,22.0,40.0,96.0,44.0,0.6141392721017987,0.5879598088265076,0.49924135174824213,0.3061928030396841
hunger,Hunger,62,0.97675,0.736,0.9385,0.94575,0.5495,-0.1409709090909091,1.1506239999999999,-0.840488,0.6995170909090909,1.9911119999999998,6,3,6.0,74.0,98.0,100.0,58.0,0.6141392721017987,0.5612432038816191,0.09736078042312803,0.08572178640074563
boredom,Boredom,62,0.99525,0.8865000000000001,0.964,0.96775,0.727,-0.3993922727272727,1.052127,-0.173459,-0.22593327272727268,1.225586,0,1,2.0,78.0,100.0,86.0,18.0,0.6141392721017987,0.5991764834919169,0.46810402308537374,0.2648098140349146
confusion,Confusion,59,0.9675,0.876,0.9665,0.9695,0.5262,0.18732318181818183,0.420543,-0.832661,1.0199841818181818,1.253204,1,1,0.0,6.0,12.0,2.0,0.0,0.6141392721017987,0.5060958551847337,0.5072888974938108,0.2706475752015926
anger,Anger,28,0.9815,0.8434999999999999,0.9425,0.9495,0.461,0.003911818181818179,0.669,-0.677621,0.6815328181818182,1.346621,0,4,0.0,0.0,0.0,0.0,0.0,0.6141392721017987,0.5903365798973752,0.5743760034951534,0.5649225134087212
empathic_concern,Empathic concern,56,0.9765000000000001,0.84625,0.92975,0.93925,0.5134,-0.06190590909090909,1.169488,-1.033286,0.9713800909090908,2.202774,4,7,2.0,0.0,4.0,12.0,20.0,0.6141392721017987,0.5674728900259938,0.5455633583716119,0.5064653736125615
