trait,label,s2_auc_all_controls,causal_keyword_delta_pp_at_1,unique_token_retained_pct_at_1,assistant_minus_neutral_z,user_vicarious_minus_neutral_z
official_pain,Official pain,0.9690000000000001,0.0,101.92202845181593,1.3716575454545454,0.10976700000000006
pain_regenerated,Regenerated pain,0.962,14.0,98.78458867328236,-0.45725327272727273,-0.61227
sexual_arousal,Sexual arousal,0.9915,38.0,95.73721068419937,1.4040934545454544,1.145157
hunger,Hunger,0.97675,92.0,91.38695885069345,0.6995170909090909,1.9911119999999998
boredom,Boredom,0.99525,98.0,97.5636163831904,-0.22593327272727268,1.225586
confusion,Confusion,0.9675,12.0,82.40734279257165,1.0199841818181818,1.253204
anger,Anger,0.9815,0.0,96.12421916563609,0.6815328181818182,1.346621
empathic_concern,Empathic concern,0.9765000000000001,2.0,92.40133562602236,0.9713800909090908,2.202774
