dataset,type,mean_z,pain_z,ctrl_z
S1_1P,human,-0.030130556,0.4255222678184509,-0.48578343
S1_3P,human,-0.35572678,-0.1122884303331375,-0.5991652
S2_1P,human,3.8146972e-08,0.8684595227241516,-0.8684594
S2_3P,human,-0.44406006,-0.0468094460666179,-0.8413107
Random_1P,neutral,-0.6657094,,-0.6657094
Random_3P,neutral,-0.53114355,,-0.53114355
Arousal_1P,arousal,-0.41878754,,-0.41878754
Arousal_3P,arousal,-0.3780628,,-0.3780628
