,ALL,B,C1,C2,D,E
S2_1P,0.9866999999999999,0.9774999999999999,0.996,0.977,0.9974999999999999,0.9854999999999999
S2_3P,0.9845999999999999,0.9650000000000001,0.996,0.9794999999999999,0.9924999999999999,0.99
