dataset,type,mean_z,pain_z,ctrl_z
S1_1P,human,-0.17944731,0.2359190732240677,-0.5948136
S1_3P,human,-0.4716864,-0.2397903800010681,-0.7035824
S2_1P,human,-3.8146972e-08,0.8254964351654053,-0.8254964
S2_3P,human,-0.4566432,-0.0273214727640151,-0.8859649
Random_1P,neutral,-0.7086569,,-0.7086569
Random_3P,neutral,-0.6776531,,-0.6776531
Arousal_1P,arousal,-0.5550279,,-0.5550279
Arousal_3P,arousal,-0.579517,,-0.579517
