,ALL,B,C1,C2,D,E
S2_1P,0.9816,0.9875,0.9824999999999999,0.976,0.9884999999999999,0.9735
S2_3P,0.9804999999999999,0.994,0.9710000000000001,0.996,0.9455,0.996
