model,condition,probe,mean_abs_proj,kind
Phi_4,s1s2_negval,negworld_vector,5.8122663497924805,layerwise
Phi_4,s1s2_negval,bodysens_vector,6.053864479064941,layerwise
Phi_4,s1s2_negval,arousal_vector,4.092609882354736,layerwise
Phi_4,s1s2_negval,random_vector,3.328094720840454,layerwise
Phi_4,s1s2_negval,numb_vector,8.00754451751709,layerwise
Phi_4,s1s2_negval,s1@L6,0.6026397347450256,strict_fixed
Phi_4,s1s2_negval,s2@L12,0.4129355847835541,strict_fixed
Phi_4,s1s2_negval,negemotion@L12,0.01591680943965912,strict_fixed
Phi_4,s1s2_negval,fear@L12,1.2383414506912231,strict_fixed
Phi_4,s1s2_fear,s1_pain_vector,3.1271417140960693,layerwise
Phi_4,s1s2_fear,s2_pain_vector,3.1349387168884277,layerwise
Phi_4,s1s2_fear,s3_pain_vector,3.7142391204833984,layerwise
Phi_4,s1s2_fear,fear_vector,3.369375228881836,layerwise
Phi_4,s1s2_fear,negemotion_vector,4.208620548248291,layerwise
Phi_4,s1s2_fear,negworld_vector,5.866398334503174,layerwise
Phi_4,s1s2_fear,bodysens_vector,5.992953777313232,layerwise
Phi_4,s1s2_fear,arousal_vector,4.0529093742370605,layerwise
Phi_4,s1s2_fear,random_vector,3.315401554107666,layerwise
Phi_4,s1s2_fear,numb_vector,7.891241550445557,layerwise
Phi_4,s1s2_fear,s1@L6,0.6027303338050842,strict_fixed
Phi_4,s1s2_fear,s2@L12,0.26925167441368103,strict_fixed
Phi_4,s1s2_fear,negemotion@L12,1.356583833694458,strict_fixed
Phi_4,s1s2_fear,fear@L12,0.014682011678814888,strict_fixed
Phi_4,random,s1_pain_vector,3.2882041931152344,layerwise
Phi_4,random,s2_pain_vector,3.43585467338562,layerwise
Phi_4,random,s3_pain_vector,3.759965658187866,layerwise
Phi_4,random,fear_vector,3.508288860321045,layerwise
Phi_4,random,negemotion_vector,4.233282089233398,layerwise
Phi_4,random,negworld_vector,5.9345927238464355,layerwise
Phi_4,random,bodysens_vector,6.0194621086120605,layerwise
Phi_4,random,arousal_vector,4.201142311096191,layerwise
Phi_4,random,random_vector,3.3355839252471924,layerwise
Phi_4,random,numb_vector,8.00809097290039,layerwise
Phi_4,random,s1@L6,1.762499451637268,strict_fixed
Phi_4,random,s2@L12,2.9818809032440186,strict_fixed
Phi_4,random,negemotion@L12,1.804052710533142,strict_fixed
Phi_4,random,fear@L12,1.6208621263504028,strict_fixed
