model,condition,probe,mean_abs_proj,kind
Gemma_2_27B_base,fear,bodysens_vector,1030.3798828125,layerwise
Gemma_2_27B_base,fear,arousal_vector,2661.01220703125,layerwise
Gemma_2_27B_base,fear,random_vector,1321.49560546875,layerwise
Gemma_2_27B_base,fear,numb_vector,907.9478149414062,layerwise
Gemma_2_27B_base,fear,s1@L6,1328.8433837890625,strict_fixed
Gemma_2_27B_base,fear,s2@L13,217.03317260742188,strict_fixed
Gemma_2_27B_base,fear,negemotion@L13,131.77748107910156,strict_fixed
Gemma_2_27B_base,fear,fear@L13,4.345639705657959,strict_fixed
Gemma_2_27B_base,s1s2_negval,s1_pain_vector,604.564208984375,layerwise
Gemma_2_27B_base,s1s2_negval,s2_pain_vector,770.3419799804688,layerwise
Gemma_2_27B_base,s1s2_negval,s3_pain_vector,1372.59912109375,layerwise
Gemma_2_27B_base,s1s2_negval,fear_vector,1882.0352783203125,layerwise
Gemma_2_27B_base,s1s2_negval,negemotion_vector,2315.646728515625,layerwise
Gemma_2_27B_base,s1s2_negval,negworld_vector,2453.187255859375,layerwise
Gemma_2_27B_base,s1s2_negval,bodysens_vector,1038.8648681640625,layerwise
Gemma_2_27B_base,s1s2_negval,arousal_vector,2749.3828125,layerwise
Gemma_2_27B_base,s1s2_negval,random_vector,1520.8330078125,layerwise
Gemma_2_27B_base,s1s2_negval,numb_vector,981.9559326171875,layerwise
Gemma_2_27B_base,s1s2_negval,s1@L6,9.821073532104492,strict_fixed
Gemma_2_27B_base,s1s2_negval,s2@L13,3.217539072036743,strict_fixed
Gemma_2_27B_base,s1s2_negval,negemotion@L13,3.8107259273529053,strict_fixed
Gemma_2_27B_base,s1s2_negval,fear@L13,340.46160888671875,strict_fixed
Gemma_2_27B_base,s1s2_fear,s1_pain_vector,602.9168701171875,layerwise
Gemma_2_27B_base,s1s2_fear,s2_pain_vector,764.3369140625,layerwise
Gemma_2_27B_base,s1s2_fear,s3_pain_vector,1374.9884033203125,layerwise
Gemma_2_27B_base,s1s2_fear,fear_vector,1949.814697265625,layerwise
Gemma_2_27B_base,s1s2_fear,negemotion_vector,2457.491943359375,layerwise
Gemma_2_27B_base,s1s2_fear,negworld_vector,2598.932373046875,layerwise
Gemma_2_27B_base,s1s2_fear,bodysens_vector,1002.1502685546875,layerwise
Gemma_2_27B_base,s1s2_fear,arousal_vector,2734.737060546875,layerwise
Gemma_2_27B_base,s1s2_fear,random_vector,1583.72314453125,layerwise
Gemma_2_27B_base,s1s2_fear,numb_vector,947.4265747070312,layerwise
Gemma_2_27B_base,s1s2_fear,s1@L6,9.995674133300781,strict_fixed
