model,condition,probe,mean_abs_proj,kind
Gemma_3_27B_base,baseline,s1_pain_vector,2701.440185546875,layerwise
Gemma_3_27B_base,baseline,s2_pain_vector,2376.093017578125,layerwise
Gemma_3_27B_base,baseline,s3_pain_vector,1949.4599609375,layerwise
Gemma_3_27B_base,baseline,fear_vector,1267.7633056640625,layerwise
Gemma_3_27B_base,baseline,negemotion_vector,3043.79736328125,layerwise
Gemma_3_27B_base,baseline,negworld_vector,6569.927734375,layerwise
Gemma_3_27B_base,baseline,bodysens_vector,2825.209716796875,layerwise
Gemma_3_27B_base,baseline,arousal_vector,2716.7109375,layerwise
Gemma_3_27B_base,baseline,random_vector,2025.739990234375,layerwise
Gemma_3_27B_base,baseline,numb_vector,2060.11328125,layerwise
Gemma_3_27B_base,baseline,s1@L22,121.47208404541016,strict_fixed
Gemma_3_27B_base,baseline,s2@L24,1892.052490234375,strict_fixed
Gemma_3_27B_base,baseline,negemotion@L24,762.5025634765625,strict_fixed
Gemma_3_27B_base,baseline,fear@L24,1143.618896484375,strict_fixed
Gemma_3_27B_base,s1,s1_pain_vector,2670.775390625,layerwise
Gemma_3_27B_base,s1,s2_pain_vector,2374.5908203125,layerwise
Gemma_3_27B_base,s1,s3_pain_vector,1934.759033203125,layerwise
Gemma_3_27B_base,s1,fear_vector,1259.565185546875,layerwise
Gemma_3_27B_base,s1,negemotion_vector,3018.02734375,layerwise
Gemma_3_27B_base,s1,negworld_vector,6519.86669921875,layerwise
Gemma_3_27B_base,s1,bodysens_vector,2809.659423828125,layerwise
Gemma_3_27B_base,s1,arousal_vector,2690.8427734375,layerwise
Gemma_3_27B_base,s1,random_vector,2020.652587890625,layerwise
Gemma_3_27B_base,s1,numb_vector,2052.968017578125,layerwise
Gemma_3_27B_base,s1,s1@L22,1.4831562042236328,strict_fixed
Gemma_3_27B_base,s1,s2@L24,1917.15771484375,strict_fixed
Gemma_3_27B_base,s1,negemotion@L24,791.262939453125,strict_fixed
Gemma_3_27B_base,s1,fear@L24,1149.0091552734375,strict_fixed
Gemma_3_27B_base,s2,s1_pain_vector,2476.12841796875,layerwise
Gemma_3_27B_base,s2,s2_pain_vector,2260.226318359375,layerwise
Gemma_3_27B_base,s2,s3_pain_vector,1594.76953125,layerwise
Gemma_3_27B_base,s2,fear_vector,1106.887451171875,layerwise
Gemma_3_27B_base,s2,negemotion_vector,3511.69482421875,layerwise
Gemma_3_27B_base,s2,negworld_vector,6834.71875,layerwise
Gemma_3_27B_base,s2,bodysens_vector,2647.732421875,layerwise
Gemma_3_27B_base,s2,arousal_vector,3047.153564453125,layerwise
Gemma_3_27B_base,s2,random_vector,2193.9287109375,layerwise
Gemma_3_27B_base,s2,numb_vector,2330.267578125,layerwise
Gemma_3_27B_base,s2,s1@L22,428.3085632324219,strict_fixed
Gemma_3_27B_base,s2,s2@L24,41.69516372680664,strict_fixed
Gemma_3_27B_base,s2,negemotion@L24,197.7432403564453,strict_fixed
Gemma_3_27B_base,s2,fear@L24,204.77589416503906,strict_fixed
Gemma_3_27B_base,s1s2,s1_pain_vector,2365.193359375,layerwise
Gemma_3_27B_base,s1s2,s2_pain_vector,2209.883056640625,layerwise
Gemma_3_27B_base,s1s2,s3_pain_vector,1556.889404296875,layerwise
Gemma_3_27B_base,s1s2,fear_vector,1096.3359375,layerwise
Gemma_3_27B_base,s1s2,negemotion_vector,3410.783203125,layerwise
Gemma_3_27B_base,s1s2,negworld_vector,6591.61865234375,layerwise
Gemma_3_27B_base,s1s2,bodysens_vector,2591.10009765625,layerwise
Gemma_3_27B_base,s1s2,arousal_vector,2953.037841796875,layerwise
Gemma_3_27B_base,s1s2,random_vector,2148.666748046875,layerwise
Gemma_3_27B_base,s1s2,numb_vector,2328.464111328125,layerwise
Gemma_3_27B_base,s1s2,s1@L22,0.9924598336219788,strict_fixed
Gemma_3_27B_base,s1s2,s2@L24,39.72340393066406,strict_fixed
Gemma_3_27B_base,s1s2,negemotion@L24,218.1190948486328,strict_fixed
Gemma_3_27B_base,s1s2,fear@L24,160.3881378173828,strict_fixed
Gemma_3_27B_base,negval,s1_pain_vector,2639.218994140625,layerwise
Gemma_3_27B_base,negval,s2_pain_vector,2409.39111328125,layerwise
Gemma_3_27B_base,negval,s3_pain_vector,1582.521484375,layerwise
Gemma_3_27B_base,negval,fear_vector,1100.6820068359375,layerwise
Gemma_3_27B_base,negval,negemotion_vector,3446.868896484375,layerwise
Gemma_3_27B_base,negval,negworld_vector,7014.66845703125,layerwise
Gemma_3_27B_base,negval,bodysens_vector,2715.807373046875,layerwise
Gemma_3_27B_base,negval,arousal_vector,2921.431396484375,layerwise
Gemma_3_27B_base,negval,random_vector,2218.377197265625,layerwise
Gemma_3_27B_base,negval,numb_vector,2211.73583984375,layerwise
Gemma_3_27B_base,negval,s1@L22,202.49191284179688,strict_fixed
Gemma_3_27B_base,negval,s2@L24,1025.2740478515625,strict_fixed
Gemma_3_27B_base,negval,negemotion@L24,11.931671142578125,strict_fixed
Gemma_3_27B_base,negval,fear@L24,440.5113525390625,strict_fixed
Gemma_3_27B_base,fear,s1_pain_vector,2507.327392578125,layerwise
Gemma_3_27B_base,fear,s2_pain_vector,2291.494140625,layerwise
Gemma_3_27B_base,fear,s3_pain_vector,1574.5382080078125,layerwise
Gemma_3_27B_base,fear,fear_vector,1074.63720703125,layerwise
Gemma_3_27B_base,fear,negemotion_vector,3335.9169921875,layerwise
Gemma_3_27B_base,fear,negworld_vector,6653.57958984375,layerwise
Gemma_3_27B_base,fear,bodysens_vector,2601.4609375,layerwise
Gemma_3_27B_base,fear,arousal_vector,2807.63134765625,layerwise
Gemma_3_27B_base,fear,random_vector,2122.567626953125,layerwise
Gemma_3_27B_base,fear,numb_vector,2163.183349609375,layerwise
Gemma_3_27B_base,fear,s1@L22,162.456787109375,strict_fixed
Gemma_3_27B_base,fear,s2@L24,804.3161010742188,strict_fixed
Gemma_3_27B_base,fear,negemotion@L24,164.1175994873047,strict_fixed
Gemma_3_27B_base,fear,fear@L24,20.775920867919922,strict_fixed
Gemma_3_27B_base,s1s2_negval,s1_pain_vector,2416.55078125,layerwise
Gemma_3_27B_base,s1s2_negval,s2_pain_vector,2240.796630859375,layerwise
Gemma_3_27B_base,s1s2_negval,s3_pain_vector,1592.5367431640625,layerwise
