feature_index,label,pain_sentences_normal,pain_sentences_with_prefix,control_sentences
58148,Pain and discomfort,0/10,0/10,0/10
23654,Pain and suffering,0/10,0/10,0/10
50823,Pain or discomfort being described,0/10,0/10,0/10
64532,Pain in medical contexts,0/10,0/10,0/10
22728,Emotional pain and sorrow,0/10,0/10,0/10
57454,Physical pain and discomfort,0/10,0/10,0/10
26509,Causing physical or emotional pain,0/10,0/10,0/10
51324,Sense of disconnection,3/10,2/10,0/10
